dataset,A,Z,species,nr,l,j,energy_MeV,orbital,state_type
Seminole synthetic,100,50,proton,0,3,3.5,-10.741074999779208,,
Seminole synthetic,100,50,proton,0,4,4.5,-2.879542095978185,,
Seminole synthetic,40,20,neutron,0,0,0.5,-41.79015983090607,,
Seminole synthetic,40,20,neutron,1,0,0.5,-17.350481103788717,,
Seminole synthetic,40,20,neutron,0,1,0.5,-29.246881632218468,,
Seminole synthetic,40,20,neutron,1,1,0.5,-4.510066792960047,,
Seminole synthetic,40,20,neutron,0,1,1.5,-32.009165743154455,,
Seminole synthetic,40,20,neutron,1,1,1.5,-6.476331115724236,,
Seminole synthetic,40,20,neutron,0,2,1.5,-16.148542662202136,,
Seminole synthetic,40,20,neutron,0,2,2.5,-21.38957843293203,,
Seminole synthetic,40,20,neutron,0,3,2.5,-2.8612639618961384,,
Seminole synthetic,40,20,neutron,0,3,3.5,-10.17540172826309,,
Seminole synthetic,40,20,proton,0,0,0.5,-33.29256146055299,,
Seminole synthetic,40,20,proton,1,0,0.5,-9.84921114974796,,
Seminole synthetic,40,20,proton,0,1,0.5,-21.22627889170948,,
Seminole synthetic,40,20,proton,0,1,1.5,-24.043482078563105,,
Seminole synthetic,40,20,proton,0,2,1.5,-8.660630833089682,,
Seminole synthetic,40,20,proton,0,2,2.5,-13.91746837592797,,
Seminole synthetic,40,20,proton,0,3,3.5,-3.2127286804581248,,
Seminole synthetic,48,20,neutron,0,0,0.5,-36.353451454394815,,
Seminole synthetic,48,20,neutron,1,0,0.5,-14.805706507538625,,
Seminole synthetic,48,20,neutron,0,1,0.5,-25.426066350278187,,
Seminole synthetic,48,20,neutron,1,1,0.5,-3.4417821195770046,,
Seminole synthetic,48,20,neutron,0,1,1.5,-27.857426931368764,,
Seminole synthetic,48,20,neutron,1,1,1.5,-5.160940661801697,,
Seminole synthetic,48,20,neutron,0,2,1.5,-13.878792724541459,,
Seminole synthetic,48,20,neutron,0,2,2.5,-18.574677190284792,,
Seminole synthetic,48,20,neutron,0,3,2.5,-2.080861007848297,,
